name,org_name,description,address,city,state,zipcode,latitude,longitude,min_age,max_age,category_id,category name,category description,,,,,,,,,,,,,,,,,
 Empowerment Thru Engineering ,After School Matters,"Students participating in our Engineering program will be exposed to various disciplines of engineering through our project-based learning, hands-on curriculum. Students will learn how to utilize the engineering design design process of Ask, Imagine, Create, Test and Improve do develop different engineering devices. Students will participate in projects such as Robotics, Embedded Systems Design and Mobile App Design.",2710 S DEARBORN ,Chicago,IL,60616,41.8442,-87.6289,14,22,2,Designing + Making,"Creating visual graphics and physical structures; Building things with electronics, craft materials; Creating fashion",,,,,,,,,,,,,,,,,
 Engineering Wonder,After School Matters,"Engineering Wonder is a design and fabrication program at Redmoon Theater. The program provides teens the opportunity to design and build a full-scale, artistic spectacle object for the annual Great Chicago Fire Festival (GCFF), Redmoons upcoming signature festival on the Chicago River, presented in partnership with the City of Chicago. Through the program, teens participate in Redmoons process of creating large-scale spectacle art: a convergence of visual art, theater, and engineering. Teens learn how to build in a metal shop, develop their engineering and design skills, and acquire crucial college and career readiness skills. The sculptural object created by teens will be presented at a culminating event at Redmoon's space and incorporated into the citywide GCFF finale.",2120 S JEFFERSON STREET,Chicago,IL,60616,41.8537,-87.642,14,22,2,Designing + Making,"Creating visual graphics and physical structures; Building things with electronics, craft materials; Creating fashion",,,,,,,,,,,,,,,,,
 Engineering Wonder,After School Matters,"Engineering Wonder is a design and fabrication program at Redmoon Theater. The program provides teens the opportunity to design and build a full-scale, artistic spectacle object for the annual Great Chicago Fire Festival (GCFF), Redmoons upcoming signature festival on the Chicago River, presented in partnership with the City of Chicago. Through the program, teens participate in Redmoons process of creating large-scale spectacle art: a convergence of visual art, theater, and engineering. Teens learn how to build in a metal shop, develop their engineering and design skills, and acquire crucial college and career readiness skills. The sculptural object created by teens will be presented at a culminating event at Redmoon's space and incorporated into the citywide GCFF finale.",2120 S JEFFERSON STREET,Chicago,IL,60616,41.8537,-87.642,14,22,3,Work + Career,"Learning about careers, business, and financial planning",,,,,,,,,,,,,,,,,
 Experimental Animation and Moving Image Lab (Downtown Program),After School Matters,"The class will introduce the expansive possibilities of animated film and production. Together we will discover animation's rich history, experiment with varying techniques, and enjoy the magical results of our experimentation!",66 E RANDOLPH STREET,Chicago,IL,60601,41.8846,-87.6251,14,22,7,Media,"Creating animations, movies, music, podcasts,  and two- and three-dimensional artworks",,,,,,,,,,,,,,,,,
" Experimental Studio Arts & Exhibition Program	",After School Matters,"In the Experimental Studio participants will learn the basic principles of drawing, painting, paper-making and printmaking. Students will learn to use materials such as charcoal, pencil, pastel, acrylic painting; and learn to build their own frames and stretch their own canvas. Hands on paper-making and printmaking demonstrations are some of the exercises to challenge students to create a finished artwork under the guidance of a local artists.",1400 N HUMBOLDT DRIVE,Chicago,IL,60622,41.9066,-87.7014,14,22,2,Designing + Making,"Creating visual graphics and physical structures; Building things with electronics, craft materials; Creating fashion",,,,,,,,,,,,,,,,,
 Free Spirit Media Internship,After School Matters,"Free Spirit Medias premier internship program, which has placed youth into internships at professional media outlets. Interns in this program not only gain valuable experience at host sites, but also essential work readiness skills through professional development workshops. The Internship continues to grow and serve Free Spirit Medias most advanced youth.",1615 S CHRISTIANA AVENUE,Chicago,IL,60623,41.8584,-87.7091,16,22,3,Work + Career,"Learning about careers, business, and financial planning",,,,,,,,,,,,,,,,,
 FSM News,After School Matters,Free Spirit Media News,7200 S INGLESIDE AVENUE,Chicago,IL,60619,41.7637,-87.6021,14,22,4,Community Action,Addressing personal and community issues,,,,,,,,,,,,,,,,,
 FSM News,After School Matters,Free Spirit Media News,7200 S INGLESIDE AVENUE,Chicago,IL,60619,41.7637,-87.6021,14,22,7,Media,"Creating animations, movies, music, podcasts,  and two- and three-dimensional artworks",,,,,,,,,,,,,,,,,
 Pre-Freshman Program in Engineering and Science,After School Matters,"The Pre-Freshman Program in Engineering and Science (PREP) is a pre-collegiate program designed to expand student understanding of science and technology and the impact that science and technology professions have on society. The primary objectives of the program are to provide students with information, resources and motivational support to help them translate promising academic ability into academic credentials, to assist high risk youth to develop the self-confidence and motivation to pursue courses of study essential to their future employability and economic well-being, and to provide students with the skills necessary to achieve success in the workplace and in life. Combining academics and hands-on training, students will be actively involved in the NASCAR Ten80 Education Project year long and in a robotics engineering project during the academic year. The students working in small teams will learn about math and science as it relates to NASCAR Ten80 Student Racing Challenge and the First Lego League (FLL) Robotics Competition. Ten80 Education Project - The students, working in small teams use a 1:10 scale electric radio controlled car, will learn math and science concepts, how to develop a business plan, and marketing skills. They will race their cars and compete in local, regional and national competitions. Through team interaction, academic applications, personal and professional mentoring, students develop marketable skills that prepare them for future employment. Students will learn math and science concepts as it relates to their radio controlled car, collect data using their radio controlled car, learn to use Solidworks, a CADD software program, create a website, and develop a business plan. FLL Students will design, construct and program a robot to navigate a predetermined terrain. Students will compete in local as well as regional and national competitions. Through team interaction, academic applications, personal and professional mentoring, st",9501 S DR MARTIN LUTHER KING JR DRIVE,Chicago,IL,60628,41.7218,-87.6141,13,22,2,Designing + Making,"Creating visual graphics and physical structures; Building things with electronics, craft materials; Creating fashion",,,,,,,,,,,,,,,,,
 Pre-Freshman Program in Engineering and Science,After School Matters,"The Pre-Freshman Program in Engineering and Science (PREP) is a pre-collegiate program designed to expand student understanding of science and technology and the impact that science and technology professions have on society. The primary objectives of the program are to provide students with information, resources and motivational support to help them translate promising academic ability into academic credentials, to assist high risk youth to develop the self-confidence and motivation to pursue courses of study essential to their future employability and economic well-being, and to provide students with the skills necessary to achieve success in the workplace and in life. Combining academics and hands-on training, students will be actively involved in the NASCAR Ten80 Education Project year long and in a robotics engineering project during the academic year. The students working in small teams will learn about math and science as it relates to NASCAR Ten80 Student Racing Challenge and the First Lego League (FLL) Robotics Competition. Ten80 Education Project - The students, working in small teams use a 1:10 scale electric radio controlled car, will learn math and science concepts, how to develop a business plan, and marketing skills. They will race their cars and compete in local, regional and national competitions. Through team interaction, academic applications, personal and professional mentoring, students develop marketable skills that prepare them for future employment. Students will learn math and science concepts as it relates to their radio controlled car, collect data using their radio controlled car, learn to use Solidworks, a CADD software program, create a website, and develop a business plan. FLL Students will design, construct and program a robot to navigate a predetermined terrain. Students will compete in local as well as regional and national competitions. Through team interaction, academic applications, personal and professional mentoring, st",9501 S DR MARTIN LUTHER KING JR DRIVE,Chicago,IL,60628,41.7218,-87.6141,13,22,1,Exploring Earth & Science,Investigating the world around us,,,,,,,,,,,,,,,,,
 Pre-Freshman Program in Engineering and Science,After School Matters,"The Pre-Freshman Program in Engineering and Science (PREP) is a pre-collegiate program designed to expand student understanding of science and technology and the impact that science and technology professions have on society. The primary objectives of the program are to provide students with information, resources and motivational support to help them translate promising academic ability into academic credentials, to assist high risk youth to develop the self-confidence and motivation to pursue courses of study essential to their future employability and economic well-being, and to provide students with the skills necessary to achieve success in the workplace and in life. Combining academics and hands-on training, students will be actively involved in the NASCAR Ten80 Education Project year long and in a robotics engineering project during the academic year. The students working in small teams will learn about math and science as it relates to NASCAR Ten80 Student Racing Challenge and the First Lego League (FLL) Robotics Competition. Ten80 Education Project - The students, working in small teams use a 1:10 scale electric radio controlled car, will learn math and science concepts, how to develop a business plan, and marketing skills. They will race their cars and compete in local, regional and national competitions. Through team interaction, academic applications, personal and professional mentoring, students develop marketable skills that prepare them for future employment. Students will learn math and science concepts as it relates to their radio controlled car, collect data using their radio controlled car, learn to use Solidworks, a CADD software program, create a website, and develop a business plan. FLL Students will design, construct and program a robot to navigate a predetermined terrain. Students will compete in local as well as regional and national competitions. Through team interaction, academic applications, personal and professional mentoring, st",9501 S DR MARTIN LUTHER KING JR DRIVE,Chicago,IL,60628,41.7218,-87.6141,13,22,11,Numbers,Using math to explore the world,,,,,,,,,,,,,,,,,
 Pre-Freshman Program in Engineering and Science,After School Matters,"The Pre-Freshman Program in Engineering and Science (PREP) is a pre-collegiate program designed to expand student understanding of science and technology and the impact that science and technology professions have on society. The primary objectives of the program are to provide students with information, resources and motivational support to help them translate promising academic ability into academic credentials, to assist high risk youth to develop the self-confidence and motivation to pursue courses of study essential to their future employability and economic well-being, and to provide students with the skills necessary to achieve success in the workplace and in life. Combining academics and hands-on training, students will be actively involved in the NASCAR Ten80 Education Project year long and in a robotics engineering project during the academic year. The students working in small teams will learn about math and science as it relates to NASCAR Ten80 Student Racing Challenge and the First Lego League (FLL) Robotics Competition. Ten80 Education Project - The students, working in small teams use a 1:10 scale electric radio controlled car, will learn math and science concepts, how to develop a business plan, and marketing skills. They will race their cars and compete in local, regional and national competitions. Through team interaction, academic applications, personal and professional mentoring, students develop marketable skills that prepare them for future employment. Students will learn math and science concepts as it relates to their radio controlled car, collect data using their radio controlled car, learn to use Solidworks, a CADD software program, create a website, and develop a business plan. FLL Students will design, construct and program a robot to navigate a predetermined terrain. Students will compete in local as well as regional and national competitions. Through team interaction, academic applications, personal and professional mentoring, st",9501 S DR MARTIN LUTHER KING JR DRIVE,Chicago,IL,60628,41.7218,-87.6141,13,22,3,Work + Career,"Learning about careers, business, and financial planning",,,,,,,,,,,,,,,,,
2014 News Exchange Internship,After School Matters,"News Exchange Interns work closely with the News Exchange Editor-in-Chief to create and curate journalistic content and develop the News Exchange website. As a News Exchange Intern, you will identify, research, investigate, interview, photograph, record video and audio, write, and edit your pieces. You will learn about journalistic ethics, the changing nature of the industry, and how to work as a team to produce and broadcast relevant journalistic content. You will sharpen your critical thinking and communication skills and develop a rich digital and journalistic portfolio. You will earn minimum wage.
",1637 N ASHLAND AVENUE,Chicago,IL,60622,41.9113,-87.6676,16,22,3,Work + Career,"Learning about careers, business, and financial planning",,,,,,,,,,,,,,,,,
66 E RANDOLPH STREET,After School Matters,"Program participants will be expected to meet the demands of the program by challenging themselves to achieve independent and group goals. Teens will be instructed and encouraged to document their daily experiences as they see it; at home and in their social groups, personal spaces, and communities. The final presentation will be the body of work the apprentice has selected from collaboration with the instructor.",66 E RANDOLPH STREET,Chicago,IL,60601,41.8846,-87.6251,14,22,4,Community Action,Addressing personal and community issues,,,,,,,,,,,,,,,,,
A & A Sports,After School Matters,"A&A sports is a unique developmental and progressive system of fitness training that will equip young athletes with all the physical, mental and character building skills that is necessary to achieve a life of wellness, health and sporting excellence in basketball and volleyball.
",9538 S HARVARD,Chicago,IL,60628,41.7209,-87.6324,16,22,5,Sports + Wellness,"Playing sports, helping the environment, and other healthy activities",,,,,,,,,,,,,,,,,
ABLA Employability Plus Arts Program,After School Matters,"The ABLA Employability Plus Arts Program is an interdisciplinary performance arts program where teens in the Near West Side community learn how to play a variety of musical instruments, and other performance skills including singing, dance and acting. Youth also focus on the principles of non-violence, conflict resolution, and critical employment skills to help with future career and educational goals.
",1254 S LOOMIS STREET,Chicago,IL,60608,41.866,-87.6616,14,22,8,Performance,"Participating in live music, theatre, and dance performances",,,,,,,,,,,,,,,,,
Achieving Wellness with Capoeira,After School Matters,"Achieving Wellness with Capoeira encourages health and fitness in the lives of young people through the art form of Capoeira. The program develops habits of a consistent exercise regimen, healthy eating practices and identifies sustainable ways for teens to build healthy lifestyles through Capoeira. Through participation in this program, participants receive an introduction to physiology and the muscular system in order to understand the relationship between regular physical activity and maintaining a balanced diet to combat obesity and achieve physical wellness. More importantly, participants share this knowledge with parents, friends and the community by giving public workshops.
",2520 S WESTERN AVENUE,Chicago,IL,60608,41.8459,-87.6856,14,22,5,Sports + Wellness,"Playing sports, helping the environment, and other healthy activities",,,,,,,,,,,,,,,,,
Ada S. McKinley Culinary Institute,After School Matters,"Culinary Arts is a student-driven introductory cooking apprenticeship provided to expose teen participants to a commercial kitchen environment and the art of food preparation, cooking techniques, and presentation. Apprentices will expand their creative cooking and preparation ability through menu planning and the preparation of multiple course meals. As they assume the leadership roles of kitchen managers, chef managers, and sanitation supervisors they will obtain the necessary skills to plan, prepare, cook, and present a full course luncheon or dinner. As the youth embrace the concept of healthy eating and diverse cultural cuisines, this experience will impact their life skills development as it relates to social etiquette, leadership and other aspects of self-development. Most importantly, this program provides a direct transitional bridge to high-need post-secondary training, promotes marketable employment experience, and offers professional networking opportunities. The final product will be teen showcases of their new skills to clients--fellow students, community agency representatives and parents--in a series of opportunities to cater real meetings and events.
",2920 S WABASH AVENUE,Chicago,IL,60616,41.8414,-87.6253,14,22,2,Designing + Making,"Creating visual graphics and physical structures; Building things with electronics, craft materials; Creating fashion",,,,,,,,,,,,,,,,,
ADSUM Education,After School Matters,"The Communications Media Internship Program is designed for teens interested in community outreach and public affairs which will enable them to gain an insight into the working world as well as develop the skills required to succeed therein. This internship provides teens with diversity in a multilingual, multicultural environment with a global focus.
",2169 S China Pl Suite B,Chicago,IL,60616,41.854,-87.6346,16,22,4,Community Action,Addressing personal and community issues,,,,,,,,,,,,,,,,,
ADSUM Education,After School Matters,"The Communications Media Internship Program is designed for teens interested in community outreach and public affairs which will enable them to gain an insight into the working world as well as develop the skills required to succeed therein. This internship provides teens with diversity in a multilingual, multicultural environment with a global focus.
",2169 S China Pl Suite B,Chicago,IL,60616,41.854,-87.6346,16,22,3,Work + Career,"Learning about careers, business, and financial planning",,,,,,,,,,,,,,,,,
Advanced Art @ The Grant Campus,After School Matters,"Teens in the Advanced Art Apprenticeship at the Grant Campus need prerequisite experience and skill in fine art and develop those skills through hands-on art projects with professional artists. Projects are used to beautify the Grant Campus and the Near West Side community as well as can help teens qualify for Advanced AP Art Credits for College.
",145 S CAMPBELL AVENUE,Chicago,IL,60612,41.8792,-87.6887,14,22,2,Designing + Making,"Creating visual graphics and physical structures; Building things with electronics, craft materials; Creating fashion",,,,,,,,,,,,,,,,,
Advanced Art @ The Grant Campus,After School Matters,"Teens in the Advanced Art Apprenticeship at the Grant Campus need prerequisite experience and skill in fine art and develop those skills through hands-on art projects with professional artists. Projects are used to beautify the Grant Campus and the Near West Side community as well as can help teens qualify for Advanced AP Art Credits for College.
",145 S CAMPBELL AVENUE,Chicago,IL,60612,41.8792,-87.6887,14,22,7,Media,"Creating animations, movies, music, podcasts,  and two- and three-dimensional artworks",,,,,,,,,,,,,,,,,
Advanced Culinary Arts,After School Matters,"Culinary Arts gives teens the opportunity to learn culinary skills and, throughout the program cycle, perfect their basic techniques. This program will also give the apprentices the training necessary to obtain jobs in the culinary hospitality industry or simply to prepare healthy and sustainable meals for themselves as well as their families. The program also focuses on cake decorating, table setting, and catering for large groups. The final presentation the apprentices prepare a cake display and dinner for the community, their families, ASM staff members, and the media.
",10300 S AVENUE H,Chicago,IL,60617,41.7082,-87.5329,14,22,2,Designing + Making,"Creating visual graphics and physical structures; Building things with electronics, craft materials; Creating fashion",,,,,,,,,,,,,,,,,
Advanced Culinary Arts,After School Matters,"Culinary Arts gives teens the opportunity to learn culinary skills and, throughout the program cycle, perfect their basic techniques. This program will also give the apprentices the training necessary to obtain jobs in the culinary hospitality industry or simply to prepare healthy and sustainable meals for themselves as well as their families. The program also focuses on cake decorating, table setting, and catering for large groups. The final presentation the apprentices prepare a cake display and dinner for the community, their families, ASM staff members, and the media.
",10300 S AVENUE H,Chicago,IL,60617,41.7082,-87.5329,14,22,7,Media,"Creating animations, movies, music, podcasts,  and two- and three-dimensional artworks",,,,,,,,,,,,,,,,,
Advanced Drawing and Painting: Experimental Surfaces (Downtown Program),After School Matters,"This program will give you the chance to build your portfolio as you learn and develop drawing and painting skills. You will paint on 3D surfaces in addition to paintings on canvas and experimental surfaces. The 3D surfaces will include detailed wooden benches with cut out designs and various furniture pieces.
",201 E RANDOLPH,Chicago,IL,60602,41.8843,-87.623,14,22,2,Designing + Making,"Creating visual graphics and physical structures; Building things with electronics, craft materials; Creating fashion",,,,,,,,,,,,,,,,,
Advanced Video Production (Downtown Program),After School Matters,"From operating video cameras to script writing to editing, teens learn all the essentials on how to make their own short movies. The program begins with technical workshops on how to make their films look professional and slick. Apprentices then participate in brainstorming sessions where they pitch their own ideas for short films. Once in production, teens write scripts, act, shoot, direct, and then edit their ideas into finished films.
",66 E RANDOLPH STREET,Chicago,IL,60601,41.8844,-87.6254,14,22,7,Media,"Creating animations, movies, music, podcasts,  and two- and three-dimensional artworks",,,,,,,,,,,,,,,,,
AeroStars Aviation Exploration,After School Matters,"Take off with the AeroStars Aviation Exploration program and soar into a new awareness of the aerospace industry and how it impacts our every day lives. Teens grasp hold of real world practical applications of science and take on projects to discover the rich history of aviation; (including local Chicago aviation history), do hands-on experiments and activities from building kites and model airplanes to flying Flight Simulators and designing their own airports. Participants also meet industry professionals who share their expertise, experiences and time as well as take field trips to places like local airports (Midway, O'Hare, Gary-Chicago), Aerospace Businesses, Aerospace Museum Exhibits and the Chicago Air and Water Show.
",5015 S BLACKSTONE AVENUE,Chicago,IL,60615,41.804,-87.5905,14,22,1,Exploring Earth & Science,Investigating the world around us,,,,,,,,,,,,,,,,,
AeroStars Aviation Exploration,After School Matters,"Take off with the AeroStars Aviation Exploration program and soar into a new awareness of the aerospace industry and how it impacts our every day lives. Teens grasp hold of real world practical applications of science and take on projects to discover the rich history of aviation; (including local Chicago aviation history), do hands-on experiments and activities from building kites and model airplanes to flying Flight Simulators and designing their own airports. Participants also meet industry professionals who share their expertise, experiences and time as well as take field trips to places like local airports (Midway, O'Hare, Gary-Chicago), Aerospace Businesses, Aerospace Museum Exhibits and the Chicago Air and Water Show.
",5015 S BLACKSTONE AVENUE,Chicago,IL,60615,41.804,-87.5905,14,22,1,Exploring Earth & Science,Investigating the world around us,,,,,,,,,,,,,,,,,
AfriCaribbean ArtsConnections - W. Side Story,After School Matters,"AfriCaribbean Arts Connections (West Side Story) is a dance/music/fashion cultural arts education program for teens to connect their cultural roots from the West Side of Chicago to West Africa and the West Indies. This program builds job skills, community, choice and voice for teens through the cultural arts, while helping youth discover the physical, emotional and mental benefits of these artistic disciplines. Teens learn movement, music, and textile art forms, produce a DVD and live performance, and conduct service work/outreach workshops with children, elders and other ASM programs. Guest speakers, performances and collaborative events via area colleges are a major program component. Teens grow through group and individual challenges while developing teamwork, communication, conflict resolution, individual expression, respect for others, and self-esteem.
",500 S CENTRAL AVENUE,Chicago,IL,60644,41.8761,-87.7647,14,22,2,Designing + Making,"Creating visual graphics and physical structures; Building things with electronics, craft materials; Creating fashion",,,,,,,,,,,,,,,,,
AfriCaribbean ArtsConnections - W. Side Story,After School Matters,"AfriCaribbean Arts Connections (West Side Story) is a dance/music/fashion cultural arts education program for teens to connect their cultural roots from the West Side of Chicago to West Africa and the West Indies. This program builds job skills, community, choice and voice for teens through the cultural arts, while helping youth discover the physical, emotional and mental benefits of these artistic disciplines. Teens learn movement, music, and textile art forms, produce a DVD and live performance, and conduct service work/outreach workshops with children, elders and other ASM programs. Guest speakers, performances and collaborative events via area colleges are a major program component. Teens grow through group and individual challenges while developing teamwork, communication, conflict resolution, individual expression, respect for others, and self-esteem.
",500 S CENTRAL AVENUE,Chicago,IL,60644,41.8761,-87.7647,14,22,8,Performance,"Participating in live music, theatre, and dance performances",,,,,,,,,,,,,,,,,
After School Matters Dance Ensemble (Downtown Program),After School Matters,"The After School Matters Dance Ensemble is a professional youth dance company. We are committed to providing teens with a safe, cooperative, and creative learning environment where they can grow and be fulfilled as dance artists; where they forge personal and professional relationships; and where they learn creative, interpersonal, and critical thinking skills necessary for mature citizens entering the workforce.
",66 E RANDOLPH STREET,Chicago,IL,60601,41.8844,-87.6254,14,22,8,Performance,"Participating in live music, theatre, and dance performances",,,,,,,,,,,,,,,,,
AgLAB Gardens,After School Matters,"AgLAB is a community gardening project that creates opportunities for youth apprentices to participate actively in neighborhood beautification, learn about the nutritional benefits of fresh organic vegetables, and explore careers in agriculture.
",1512 S PULASKI ROAD,Chicago,IL,60623,41.8604,-87.7251,14,22,1,Exploring Earth & Science,Investigating the world around us,,,,,,,,,,,,,,,,,
AIM Studio,After School Matters,"Join AIM Studio and learn mime dance and performance skills while having many opportunities to give back to your community through service and a focus on combating violence in the community.
",1237 S HOMAN AVENUE,Chicago,IL,60652,41.8652,-87.7105,14,22,4,Community Action,Addressing personal and community issues,,,,,,,,,,,,,,,,,
AIM Studio,After School Matters,"Join AIM Studio and learn mime dance and performance skills while having many opportunities to give back to your community through service and a focus on combating violence in the community.
",1237 S HOMAN AVENUE,Chicago,IL,60652,41.8652,-87.7105,14,22,8,Performance,"Participating in live music, theatre, and dance performances",,,,,,,,,,,,,,,,,
Anti Cruelty Society (Downtown Region),After School Matters,"The Anti-Cruelty Society provides a wide variety of programs and services to help animals in Chicago and those who care for them. In this program, students will have the opportunity to go behind the scenes of the organization and take on specific roles in supporting Anti-Cruelty Society programming. Internships available to students will be a Digital Media Internship, Education Internship, Adoption Internship, Social Media Intern, and Behavior and Training Internship.
",157 W GRAND AVENUE,Chicago,IL,60601,41.8915,-87.633,16,22,7,Media,"Creating animations, movies, music, podcasts,  and two- and three-dimensional artworks",,,,,,,,,,,,,,,,,
Anti Cruelty Society (Downtown Region),After School Matters,"The Anti-Cruelty Society provides a wide variety of programs and services to help animals in Chicago and those who care for them. In this program, students will have the opportunity to go behind the scenes of the organization and take on specific roles in supporting Anti-Cruelty Society programming. Internships available to students will be a Digital Media Internship, Education Internship, Adoption Internship, Social Media Intern, and Behavior and Training Internship.
",157 W GRAND AVENUE,Chicago,IL,60601,41.8915,-87.633,16,22,10,Zoology,Learning about and interacting with all kinds of animals,,,,,,,,,,,,,,,,,
Arab American Action Network Internship,After School Matters,"The Arab American Spoken Word and Hip Hop Program is designed to cultivate young community leaders who are comfortable addressing community and youth issues through writing, performance and civic engagement. In addition to Spoken Word & Hip Hop instruction, our program fosters leadership and professional development; personal and cross-cultural communication skills; and critical thinking and social justice awareness. Most workshops and discussions will be led by the youth participants in an effort to promote leadership, facilitation skills and a program environment that is youth-led and adult-guided. Youth select the themes that they would like to address in each session of the program so as to focus on issues that are directly affecting them. Past themes have included youth and gang violence, education rights, poverty, and race relations. Youth explore these themes through open discussions, documentaries, youth-led presentations and relevant field trips. Youth then create original spoken word poems around these issues, edit their works through peer and instructor critiques and perform before a live audience.
",3148 W 63RD STREET,Chicago,IL,60629,41.7791,-87.7022,16,22,4,Community Action,Addressing personal and community issues,,,,,,,,,,,,,,,,,
